Type,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,Open Int,Vol/OI,IV,Exp Date,Last Trade,,
Call,111,7.91%,10.25,10.33,10.4,10.3,-2,-16.26%,88,33,2.67,41.97%,01/04/2021,16:05 ET,,
Call,112,7.08%,9.35,9.45,9.55,10.4,-2.6,-20.00%,90,198,0.45,41.43%,01/04/2021,13:28 ET,,
Call,113,6.25%,8.5,8.6,8.7,8.6,-4.25,-33.07%,55,19,2.89,40.53%,01/04/2021,16:14 ET,,
Call,114,5.42%,7.7,7.8,7.9,7.8,-3.13,-28.64%,13,36,0.36,40.01%,01/04/2021,16:02 ET,,
Call,115,4.59%,6.9,7,7.1,7.09,-3.16,-30.83%,160,923,0.17,40.27%,01/04/2021,16:14 ET,,
Call,116,3.76%,6.15,6.25,6.35,6.26,-3.16,-33.55%,185,373,0.5,38.57%,01/04/2021,16:05 ET,,
Call,117,2.93%,5.5,5.58,5.65,5.6,-2.7,-32.53%,143,"1,672",0.09,38.56%,01/04/2021,15:54 ET,,
Call,118,2.10%,4.85,4.93,5,4.9,-2.8,-36.36%,108,"1,566",0.07,37.63%,01/04/2021,16:13 ET,,
Call,119,1.27%,4.2,4.28,4.35,4.35,-3.35,-43.51%,163,550,0.3,37.91%,01/04/2021,16:08 ET,,
Call,120,0.44%,3.7,3.75,3.8,3.75,-2.38,-38.83%,"1,469","4,063",0.36,37.17%,01/04/2021,16:14 ET,,
Call,121,-0.39%,3.2,3.25,3.3,3.25,-2.16,-39.93%,"2,204","1,192",1.85,37.02%,01/04/2021,16:14 ET,,
Call,122,-1.22%,2.73,2.76,2.79,2.77,-1.98,-41.68%,"3,188","2,473",1.29,36.60%,01/04/2021,16:14 ET,,
Call,123,-2.05%,2.3,2.34,2.38,2.36,-1.84,-43.81%,"4,163","3,172",1.31,36.44%,01/04/2021,16:14 ET,,
Call,124,-2.88%,1.95,1.98,2.01,1.99,-1.58,-44.26%,"2,636","2,605",1.01,36.24%,01/04/2021,16:14 ET,,
Call,125,-3.71%,1.67,1.69,1.7,1.68,-1.42,-45.81%,"7,262","9,020",0.81,36.24%,01/04/2021,16:14 ET,,
Call,126,-4.54%,1.37,1.4,1.43,1.41,-1.21,-46.18%,"1,514","3,513",0.43,36.27%,01/04/2021,16:14 ET,,
Call,127,-5.37%,1.15,1.17,1.2,1.2,-1.05,-46.67%,"1,431","4,040",0.35,36.62%,01/04/2021,16:14 ET,,
Call,128,-6.20%,0.96,0.99,1.01,0.98,-0.89,-47.59%,"5,240","3,286",1.59,36.41%,01/04/2021,16:13 ET,,
Call,129,-7.03%,0.81,0.83,0.85,0.82,-0.7,-46.05%,"1,041","2,307",0.45,36.64%,01/04/2021,16:15 ET,,
Call,130,-7.86%,0.67,0.7,0.72,0.67,-0.64,-48.85%,"5,795","9,521",0.61,36.63%,01/04/2021,16:15 ET,,
Put,111,-7.91%,0.71,0.73,0.74,0.75,0.47,167.86%,127,575,0.22,40.72%,01/04/2021,16:04 ET,,
Put,112,-7.08%,0.82,0.85,0.87,0.86,0.54,168.75%,264,"2,657",0.1,40.04%,01/04/2021,16:14 ET,,
Put,113,-6.25%,0.98,1.01,1.03,0.98,0.57,139.02%,196,"1,064",0.18,38.77%,01/04/2021,16:13 ET,,
Put,114,-5.42%,1.16,1.19,1.22,1.21,0.69,132.69%,355,763,0.47,38.82%,01/04/2021,16:14 ET,,
Put,115,-4.59%,1.38,1.41,1.44,1.4,0.83,145.61%,986,"3,047",0.32,37.86%,01/04/2021,16:14 ET,,
Put,116,-3.76%,1.63,1.66,1.69,1.62,0.9,125.00%,612,"1,844",0.33,37.41%,01/04/2021,16:08 ET,,
Put,117,-2.93%,1.93,1.96,2,1.93,1.12,138.27%,482,"1,821",0.26,36.64%,01/04/2021,16:14 ET,,
Put,118,-2.10%,2.27,2.3,2.34,2.3,1.24,116.98%,581,"2,992",0.19,36.57%,01/04/2021,16:14 ET,,
Put,119,-1.27%,2.65,2.69,2.73,2.71,1.47,118.55%,639,"1,327",0.48,36.44%,01/04/2021,16:13 ET,,
Put,120,-0.44%,3.1,3.15,3.2,3.05,1.59,108.90%,"2,160","4,024",0.54,36.15%,01/04/2021,16:14 ET,,
Put,121,0.39%,3.55,3.6,3.65,3.57,1.72,92.97%,"3,085","1,530",2.02,35.15%,01/04/2021,16:14 ET,,
Put,122,1.22%,4.1,4.15,4.2,4.16,1.99,91.71%,832,"1,365",0.61,35.46%,01/04/2021,16:14 ET,,
Put,123,2.05%,4.7,4.75,4.8,4.65,2.12,83.79%,484,"2,253",0.21,35.28%,01/04/2021,16:12 ET,,
Put,124,2.88%,5.3,5.38,5.45,5.37,2.43,82.65%,193,"1,051",0.18,34.91%,01/04/2021,16:14 ET,,
Put,125,3.71%,6,6.08,6.15,6.1,2.65,76.81%,360,"4,809",0.07,35.33%,01/04/2021,16:07 ET,,
Put,126,4.54%,6.7,6.8,6.9,6.53,2.42,58.88%,390,610,0.64,34.91%,01/04/2021,15:43 ET,,
Put,127,5.37%,7.5,7.58,7.65,7.68,3.03,65.16%,65,681,0.1,34.96%,01/04/2021,16:05 ET,,
Put,128,6.20%,8.3,8.4,8.5,7.73,2.38,44.49%,22,"1,669",0.01,35.26%,01/04/2021,15:16 ET,,
Put,129,7.03%,9.15,9.25,9.35,8.63,2.73,46.27%,128,"5,413",0.02,35.55%,01/04/2021,15:15 ET,,
Put,130,7.86%,10,10.08,10.15,10,3.54,54.80%,90,"4,959",0.02,33.49%,01/04/2021,16:08 ET,,
