Type,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,Open Int,Vol/OI,IV,Exp Date,Last Trade
Call,111,7.91%,9.9,9.98,10.05,10.5,-5.1,-32.69%,15,114,0.13,46.68%,26/03/2021,15:27 ET
Call,112,7.08%,8.95,9.02,9.1,9.52,-4.23,-30.76%,47,301,0.16,44.37%,26/03/2021,15:26 ET
Call,113,6.25%,8.1,8.18,8.25,8.9,-2.95,-24.89%,91,167,0.54,44.25%,26/03/2021,14:46 ET
Call,114,5.42%,7.2,7.28,7.35,7.3,-3.5,-32.41%,80,242,0.33,42.92%,26/03/2021,15:59 ET
Call,115,4.59%,6.35,6.43,6.5,6.53,-4.02,-38.10%,384,"1,089",0.35,41.12%,26/03/2021,16:13 ET
Call,116,3.76%,5.6,5.65,5.7,5.71,-3.29,-36.56%,134,805,0.17,40.64%,26/03/2021,16:13 ET
Call,117,2.93%,4.8,4.88,4.95,4.95,-3,-37.74%,626,"1,621",0.39,40.69%,26/03/2021,16:13 ET
Call,118,2.10%,4.1,4.18,4.25,4.26,-2.84,-40.00%,"1,464","2,213",0.66,38.83%,26/03/2021,16:13 ET
Call,119,1.27%,3.5,3.55,3.6,3.6,-2.77,-43.49%,"1,065","4,986",0.21,39.26%,26/03/2021,16:14 ET
Call,120,0.44%,2.93,2.96,2.99,2.97,-2.58,-46.49%,"5,319","7,417",0.72,38.08%,26/03/2021,16:15 ET
Call,121,-0.39%,2.41,2.44,2.46,2.44,-2.26,-48.09%,"5,497","5,432",1.01,37.51%,26/03/2021,16:15 ET
Call,122,-1.22%,1.95,1.98,2.01,1.98,-2.02,-50.50%,"30,477","10,951",2.78,37.10%,26/03/2021,16:14 ET
Call,123,-2.05%,1.56,1.59,1.61,1.6,-1.9,-54.29%,"16,756","6,622",2.53,36.99%,26/03/2021,16:14 ET
Call,124,-2.88%,1.25,1.27,1.29,1.28,-1.63,-56.01%,"12,065","4,848",2.49,36.96%,26/03/2021,16:14 ET
Call,125,-3.71%,0.99,1,1.01,1,-1.4,-58.33%,"32,861","19,304",1.7,36.74%,26/03/2021,16:15 ET
Call,126,-4.54%,0.77,0.79,0.81,0.78,-1.13,-59.16%,"10,577","10,477",1.01,36.74%,26/03/2021,16:14 ET
Call,127,-5.37%,0.59,0.61,0.63,0.61,-0.96,-61.15%,"9,239","8,832",1.05,36.94%,26/03/2021,16:14 ET
Call,128,-6.20%,0.46,0.48,0.5,0.5,-0.75,-60.00%,"6,822","8,646",0.79,37.82%,26/03/2021,16:15 ET
Call,129,-7.03%,0.36,0.38,0.39,0.39,-0.57,-59.38%,"2,639","5,987",0.44,38.11%,26/03/2021,16:14 ET
Call,130,-7.86%,0.28,0.3,0.31,0.3,-0.46,-60.53%,"14,368","30,238",0.48,38.33%,26/03/2021,16:15 ET
Put,111,-7.91%,0.37,0.38,0.39,0.39,0.22,129.41%,284,995,0.29,44.60%,26/03/2021,16:06 ET
Put,112,-7.08%,0.44,0.45,0.47,0.46,0.26,130.00%,"2,272","2,277",1,43.05%,26/03/2021,16:14 ET
Put,113,-6.25%,0.54,0.55,0.57,0.56,0.33,143.48%,"1,073","1,310",0.82,41.88%,26/03/2021,16:14 ET
Put,114,-5.42%,0.67,0.69,0.7,0.69,0.44,176.00%,"1,151","1,445",0.8,40.91%,26/03/2021,16:14 ET
Put,115,-4.59%,0.83,0.85,0.86,0.84,0.56,200.00%,"2,683","6,648",0.4,39.78%,26/03/2021,16:14 ET
Put,116,-3.76%,1.03,1.05,1.06,1.06,0.69,186.49%,"1,838","2,924",0.63,39.34%,26/03/2021,16:14 ET
Put,117,-2.93%,1.28,1.3,1.32,1.26,0.82,186.36%,"5,724","6,106",0.94,38.52%,26/03/2021,16:14 ET
Put,118,-2.10%,1.56,1.59,1.62,1.6,1.05,190.91%,"7,333","3,976",1.84,37.93%,26/03/2021,16:15 ET
Put,119,-1.27%,1.92,1.95,1.98,1.97,1.18,149.37%,"4,598","3,394",1.35,37.60%,26/03/2021,16:14 ET
Put,120,-0.44%,2.33,2.37,2.4,2.39,1.48,162.64%,"8,266","7,559",1.09,37.17%,26/03/2021,16:15 ET
Put,121,0.39%,2.81,2.84,2.88,2.83,1.68,146.09%,"9,689","3,654",2.65,36.18%,26/03/2021,16:14 ET
Put,122,1.22%,3.35,3.4,3.45,3.4,1.98,139.44%,"6,617","4,098",1.61,36.17%,26/03/2021,16:14 ET
Put,123,2.05%,3.95,4.03,4.1,3.89,2.11,118.54%,"3,175","4,548",0.7,36.09%,26/03/2021,16:12 ET
Put,124,2.88%,4.6,4.68,4.75,4.7,2.49,112.67%,"1,531","5,009",0.31,35.92%,26/03/2021,16:14 ET
Put,125,3.71%,5.35,5.4,5.45,5.4,2.72,101.49%,"2,579","8,290",0.31,35.25%,26/03/2021,16:13 ET
Put,126,4.54%,6.15,6.2,6.25,6.1,2.78,83.73%,472,"2,469",0.19,35.47%,26/03/2021,16:13 ET
Put,127,5.37%,6.95,7.03,7.1,6.91,2.91,72.75%,358,"2,779",0.13,35.39%,26/03/2021,16:11 ET
Put,128,6.20%,7.8,7.88,7.95,7.74,2.95,61.59%,165,"1,932",0.09,35.01%,26/03/2021,16:11 ET
Put,129,7.03%,8.7,8.8,8.9,8.65,3.64,72.65%,64,"5,557",0.01,35.90%,26/03/2021,16:09 ET
Put,130,7.86%,9.65,9.73,9.8,9.67,3.47,55.97%,515,"8,364",0.06,34.09%,26/03/2021,16:13 ET
