Type,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,Open Int,Vol/OI,IV,Exp Date
Call,60,49.90%,59.8,59.9,60,61.8,0.2,0.32%,1,3,0.33,164.89%,09/04/2021
Call,65,45.72%,54.8,54.9,55,57.5,57.5,unch,1,1,1,147.60%,09/04/2021
Call,70,41.54%,49.75,49.88,50,52.45,52.45,unch,20,20,1,128.78%,09/04/2021
Call,75,37.37%,44.7,44.83,44.95,48.4,3.68,8.23%,1,3,0.33,108.23%,09/04/2021
Call,80,33.19%,39.8,39.9,40,40.63,-6.12,-13.09%,40,1,40,102.29%,09/04/2021
Call,85,29.02%,34.75,34.88,35,0,0,unch,0,0,0,86.84%,09/04/2021
Call,90,24.84%,29.75,29.88,30,29.8,-2.8,-8.59%,1,343,0,67.70%,09/04/2021
Call,95,20.67%,24.8,24.9,25,25.25,-0.2,-0.79%,10,13,0.77,63.62%,09/04/2021
Call,100,16.49%,19.9,20.03,20.15,19.8,-0.68,-3.32%,110,244,0.45,57.05%,09/04/2021
Call,105,12.32%,15.1,15.15,15.2,15.4,-1.2,-7.23%,11,57,0.19,48.09%,09/04/2021
Call,106,11.48%,14.15,14.2,14.25,14.88,0.18,1.22%,1,4,0.25,46.72%,09/04/2021
Call,107,10.65%,13.2,13.25,13.3,14,14,unch,3,0,0,45.19%,09/04/2021
Call,108,9.81%,12.25,12.3,12.35,15.65,0.8,5.39%,1,34,0.03,43.52%,09/04/2021
Call,109,8.98%,11.3,11.35,11.4,10.95,-1.8,-14.12%,6,18,0.33,41.72%,09/04/2021
Call,110,8.14%,10.35,10.4,10.45,10.16,-1.09,-9.69%,86,433,0.2,39.79%,09/04/2021
Call,111,7.31%,9.45,9.5,9.55,10.51,-2.39,-18.53%,55,40,1.38,38.60%,09/04/2021
Call,112,6.47%,8.55,8.6,8.65,8.9,-0.07,-0.78%,22,69,0.32,37.16%,09/04/2021
Call,113,5.64%,7.7,7.75,7.8,7.5,-2.6,-25.74%,21,69,0.3,36.21%,09/04/2021
Call,114,4.80%,6.9,6.95,7,7.51,-0.48,-6.01%,106,68,1.56,35.60%,09/04/2021
Call,115,3.97%,6.1,6.15,6.2,5.95,-0.5,-7.75%,218,"5,374",0.04,34.60%,09/04/2021
Call,116,3.13%,5.35,5.4,5.45,5.28,-0.62,-10.51%,469,213,2.2,33.81%,09/04/2021
Call,117,2.30%,4.65,4.68,4.7,4.6,-0.4,-8.00%,115,"2,382",0.05,32.88%,09/04/2021
Call,118,1.46%,3.95,4,4.05,3.95,-0.44,-10.02%,256,915,0.28,31.51%,09/04/2021
Call,119,0.63%,3.35,3.4,3.45,3.35,-0.35,-9.46%,366,"1,715",0.21,30.99%,09/04/2021
Call,120,-0.21%,2.84,2.86,2.87,2.85,-0.34,-10.66%,"2,850","2,545",1.12,30.97%,09/04/2021
Call,121,-1.04%,2.35,2.36,2.37,2.3,-0.32,-12.21%,"1,282","2,545",0.5,30.50%,09/04/2021
